dataset,method,dim,n_graphs,n_clusters,cluster_alg,nmi,ari,acc,silhouette
MUTAG,Graph2Vec,64,188,2,kmeans,0.028616,-0.014228,0.526596,0.275665
MUTAG,Graph2Vec,64,188,2,spectral,0.047606,-0.019024,0.531915,0.285458
MUTAG,Graph2Vec,128,188,2,kmeans,0.033455,-0.019474,0.521277,0.304671
MUTAG,Graph2Vec,128,188,2,spectral,0.028869,-0.02273,0.510638,0.306772
MUTAG,Graph2Vec,256,188,2,kmeans,0.025451,-0.020861,0.510638,0.309119
MUTAG,Graph2Vec,256,188,2,spectral,0.037078,-0.026785,0.510638,0.315231
ENZYMES,Graph2Vec,64,600,6,kmeans,0.026832,0.005813,0.223333,0.205056
ENZYMES,Graph2Vec,64,600,6,spectral,0.025006,0.003202,0.208333,0.125798
ENZYMES,Graph2Vec,128,600,6,kmeans,0.02958,0.009683,0.22,0.28322
ENZYMES,Graph2Vec,128,600,6,spectral,0.019987,0.0048,0.213333,0.157133
ENZYMES,Graph2Vec,256,600,6,kmeans,0.024098,0.003223,0.213333,0.354056
ENZYMES,Graph2Vec,256,600,6,spectral,0.020692,0.004667,0.22,0.210133
IMDB-MULTI,Graph2Vec,64,1500,3,kmeans,0.012558,0.011207,0.402,0.506062
IMDB-MULTI,Graph2Vec,64,1500,3,spectral,0.008642,0.007928,0.38,0.194398
IMDB-MULTI,Graph2Vec,128,1500,3,kmeans,0.011344,0.010087,0.399333,0.552205
IMDB-MULTI,Graph2Vec,128,1500,3,spectral,0.012816,0.003365,0.362,-0.264209
IMDB-MULTI,Graph2Vec,256,1500,3,kmeans,0.011358,0.010072,0.4,0.584246
IMDB-MULTI,Graph2Vec,256,1500,3,spectral,0.009705,0.005799,0.376667,0.201125
MUTAG,NetLSD,64,188,2,kmeans,0.246877,0.302029,0.776596,0.575687
MUTAG,NetLSD,64,188,2,spectral,0.212093,0.267375,0.760638,0.571106
MUTAG,NetLSD,128,188,2,kmeans,0.246877,0.302029,0.776596,0.575687
MUTAG,NetLSD,128,188,2,spectral,0.212093,0.267375,0.760638,0.571106
MUTAG,NetLSD,256,188,2,kmeans,0.246877,0.302029,0.776596,0.575687
MUTAG,NetLSD,256,188,2,spectral,0.212093,0.267375,0.760638,0.571106
ENZYMES,NetLSD,64,600,6,kmeans,0.043027,0.015893,0.241667,0.536937
ENZYMES,NetLSD,64,600,6,spectral,0.038138,0.013522,0.25,0.167813
ENZYMES,NetLSD,128,600,6,kmeans,0.043027,0.015893,0.241667,0.536937
ENZYMES,NetLSD,128,600,6,spectral,0.038138,0.013522,0.25,0.167813
ENZYMES,NetLSD,256,600,6,kmeans,0.043027,0.015893,0.241667,0.536937
ENZYMES,NetLSD,256,600,6,spectral,0.038138,0.013522,0.25,0.167813
IMDB-MULTI,NetLSD,64,1500,3,kmeans,0.021031,0.015675,0.41,0.545977
IMDB-MULTI,NetLSD,64,1500,3,spectral,0.004564,0.000265,0.35,-0.460153
IMDB-MULTI,NetLSD,128,1500,3,kmeans,0.021031,0.015675,0.41,0.545977
IMDB-MULTI,NetLSD,128,1500,3,spectral,0.003305,0.00028,0.342667,-0.378804
IMDB-MULTI,NetLSD,256,1500,3,kmeans,0.021031,0.015675,0.41,0.545977
IMDB-MULTI,NetLSD,256,1500,3,spectral,0.015822,0.001232,0.353333,-0.0635
